id_region,id_sector,id_subsector,id_end_use,id_energy_carrier,unit,year,value
9,3,32,1,8,kWh/person,2025,0
9,3,32,1,8,kWh/person,2026,0
9,3,32,1,8,kWh/person,2027,0
9,3,32,1,8,kWh/person,2028,0
9,3,32,1,8,kWh/person,2029,0
9,3,32,1,8,kWh/person,2030,0
9,3,32,1,8,kWh/person,2031,0
9,3,32,1,8,kWh/person,2032,0
9,3,32,1,8,kWh/person,2033,0
9,3,32,1,8,kWh/person,2034,0
9,3,32,1,8,kWh/person,2035,0
9,3,32,1,8,kWh/person,2036,0
9,3,32,1,8,kWh/person,2037,0
9,3,32,1,8,kWh/person,2038,0
9,3,32,1,8,kWh/person,2039,0
9,3,32,1,8,kWh/person,2040,0
9,3,32,1,8,kWh/person,2041,0
9,3,32,1,8,kWh/person,2042,0
9,3,32,1,8,kWh/person,2043,0
9,3,32,1,8,kWh/person,2044,0
9,3,32,1,8,kWh/person,2045,0
9,3,32,1,8,kWh/person,2046,0
9,3,32,1,8,kWh/person,2047,0
9,3,32,1,8,kWh/person,2048,0
9,3,32,1,8,kWh/person,2049,0
9,3,32,1,8,kWh/person,2050,0
9,3,32,1,12,kWh/person,2010,0
9,3,32,1,12,kWh/person,2011,0
9,3,32,1,12,kWh/person,2012,0
9,3,32,1,12,kWh/person,2013,0
9,3,32,1,12,kWh/person,2014,0
9,3,32,1,12,kWh/person,2015,0
9,3,32,1,12,kWh/person,2016,0
9,3,32,1,12,kWh/person,2017,0
